# Date:     2025-02-15 20:36:50
# Database: ocvs
# Target:   lmc_rrlyr
# Query:    (type='RRab') 
# Objects:  29151
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-RRLYR-01369	RRab	72.890535	-69.200944	18.698	19.406	0.708	0.74777170	0.00000430	6000.22866	0.266	0.359	4.809	0.180	3.426
OGLE-LMC-RRLYR-01370	RRab	72.893415	-70.296000	18.795	19.461	0.666	0.65380540	0.00000320	6000.56161	0.236	0.349	4.523	0.141	3.503
OGLE-LMC-RRLYR-01371	RRab	72.893715	-70.302333	19.025	19.562	0.537	0.50449220	0.00000050	6000.39480	0.804	0.504	4.103	0.405	2.209
OGLE-LMC-RRLYR-01372	RRab	72.897840	-69.021361	18.690	19.327	0.637	0.60458480	0.00000060	6000.34337	0.669	0.456	4.184	0.391	2.272
OGLE-LMC-RRLYR-01374	RRab	72.903465	-69.157667	19.263	20.083	0.820	0.59378060	0.00000190	6000.41172	0.481	0.495	4.314	0.330	2.629
OGLE-LMC-RRLYR-01375	RRab	72.903495	-66.935444	19.850	20.785	0.935	0.47874250	0.00000060	6000.21699	0.883	0.463	4.176	0.392	2.022
OGLE-LMC-RRLYR-01376	RRab	72.904335	-70.332722	18.851	19.411	0.560	0.56120790	0.00000070	6000.30059	0.718	0.541	4.250	0.388	2.438
OGLE-LMC-RRLYR-01379	RRab	72.907995	-70.055583	18.969	19.522	0.553	0.54692180	0.00000050	6000.03658	0.700	0.493	4.191	0.392	2.367
OGLE-LMC-RRLYR-01380	RRab	72.913710	-68.243583	18.724	19.366	0.642	0.63668190	0.00000160	6000.17806	0.443	0.476	4.492	0.252	2.891
OGLE-LMC-RRLYR-01381	RRab	72.913995	-67.953528	18.766	19.347	0.581	0.57705360	0.00000080	6000.35208	0.551	0.497	4.316	0.369	2.771
OGLE-LMC-RRLYR-01383	RRab	72.914910	-70.125194	18.910	19.465	0.555	0.52447640	0.00000070	6000.07391	0.612	0.529	4.294	0.346	2.546
OGLE-LMC-RRLYR-01384	RRab	72.915495	-68.868333	18.576	19.222	0.646	0.52280450	0.00000090	6000.26431	0.531	0.441	4.024	0.335	1.871
OGLE-LMC-RRLYR-01385	RRab	72.918210	-67.171583	19.336	20.247	0.911	0.62866910	0.00000440	6000.33416	0.402	0.493	4.410	0.307	2.723
OGLE-LMC-RRLYR-01386	RRab	72.919830	-70.544667	18.691	19.282	0.591	0.69924560	0.00000150	6000.44443	0.557	0.516	4.668	0.324	3.045
OGLE-LMC-RRLYR-01387	RRab	72.920085	-67.188556	19.970	21.084	1.114	0.40423110	0.00000060	6000.13228	0.819	0.512	4.045	0.338	2.204
OGLE-LMC-RRLYR-01388	RRab	72.920160	-67.681750	18.795	19.349	0.554	0.57942950	0.00000100	6000.33559	0.527	0.484	4.350	0.325	2.638
OGLE-LMC-RRLYR-01389	RRab	72.922665	-68.958667	19.262	19.902	0.640	0.52729830	0.00000070	6000.15783	0.769	0.437	4.076	0.348	2.119
OGLE-LMC-RRLYR-01390	RRab	72.923370	-69.514333	19.029	19.695	0.666	0.62928270	0.00000240	6000.14602	0.347	0.390	4.519	0.235	3.024
OGLE-LMC-RRLYR-01391	RRab	72.926160	-70.408583	19.047	19.694	0.647	0.57708250	0.00000190	6000.28425	0.422	0.475	4.712	0.269	3.195
OGLE-LMC-RRLYR-01392	RRab	72.926670	-67.823778	18.989	19.515	0.526	0.48849630	0.00000050	6000.05701	0.691	0.493	4.191	0.370	2.406
OGLE-LMC-RRLYR-01393	RRab	72.930795	-69.371722	18.744	19.377	0.633	0.66096350	0.00000130	6000.24958	0.582	0.490	4.475	0.304	2.830
OGLE-LMC-RRLYR-01395	RRab	72.931995	-67.488833	18.584	19.177	0.593	0.61723970	0.00000180	6000.28872	0.392	0.366	4.319	0.307	2.408
OGLE-LMC-RRLYR-01396	RRab	72.933045	-70.197944	18.762	19.482	0.720	0.64691230	0.00000830	6000.31620	0.149	0.344	4.232	0.000	-99.99
OGLE-LMC-RRLYR-01397	RRab	72.933255	-69.656722	18.569	19.783	1.214	0.63324060	0.00000640	6000.48053	0.194	0.358	4.656	0.157	3.170
OGLE-LMC-RRLYR-01398	RRab	72.934455	-68.752722	18.862	19.468	0.606	0.62005750	0.00000110	6000.49725	0.597	0.511	4.431	0.320	2.786
OGLE-LMC-RRLYR-01399	RRab	72.935715	-69.242917	18.834	19.554	0.720	0.64862980	0.00000320	6000.54501	0.271	0.410	4.538	0.213	3.026
OGLE-LMC-RRLYR-01400	RRab	72.938835	-68.140139	19.437	19.921	0.484	0.45506580	0.00000050	6000.41020	0.854	0.510	4.178	0.374	2.215
OGLE-LMC-RRLYR-01401	RRab	72.941340	-69.445750	19.217	20.043	0.826	0.63644850	0.00000310	6000.50776	0.333	0.435	4.518	0.247	2.998
OGLE-LMC-RRLYR-01402	RRab	72.944040	-69.487389	18.889	19.605	0.716	0.71498620	0.00000240	6000.55656	0.395	0.457	4.680	0.286	3.299
OGLE-LMC-RRLYR-01403	RRab	72.946080	-68.766778	18.917	19.483	0.566	0.47223850	0.00000130	6000.11207	0.561	0.391	3.969	0.217	1.894
OGLE-LMC-RRLYR-01404	RRab	72.947415	-70.479278	18.846	-99.99	-99.99	0.54904890	0.00000090	6000.39357	0.525	0.285	4.214	0.255	2.786
OGLE-LMC-RRLYR-01405	RRab	72.947535	-68.238889	18.766	19.295	0.529	0.53364450	0.00000110	6000.05462	0.673	0.415	4.219	0.211	2.075
OGLE-LMC-RRLYR-01406	RRab	72.949170	-68.993861	18.647	-99.99	-99.99	0.60572510	0.00000110	6000.20378	0.403	0.445	4.487	0.208	3.053
OGLE-LMC-RRLYR-01408	RRab	72.955590	-69.782056	18.971	19.840	0.869	0.62152980	0.00000280	6000.30791	0.311	0.399	4.527	0.284	3.213
OGLE-LMC-RRLYR-01410	RRab	72.956415	-69.353806	18.822	19.500	0.678	0.63372120	0.00000200	6000.06534	0.369	0.439	4.513	0.264	2.937
OGLE-LMC-RRLYR-01413	RRab	72.964965	-66.990917	19.382	20.147	0.765	0.50599750	0.00000070	6000.50206	0.785	0.516	4.145	0.377	2.258
OGLE-LMC-RRLYR-01414	RRab	72.965955	-70.496056	18.875	19.423	0.548	0.55938780	0.00000100	6000.02253	0.638	0.455	4.136	0.368	2.308
OGLE-LMC-RRLYR-01415	RRab	72.966120	-68.968611	19.006	19.542	0.536	0.47198540	0.00000170	6000.10093	0.683	0.407	4.022	0.170	1.933
OGLE-LMC-RRLYR-01419	RRab	72.967545	-67.013833	18.630	19.206	0.576	0.60432340	0.00000120	6000.12824	0.383	0.445	4.553	0.285	3.038
OGLE-LMC-RRLYR-01420	RRab	72.968715	-70.313083	18.750	19.345	0.595	0.58966820	0.00000080	6000.02708	0.653	0.419	4.168	0.361	2.118
OGLE-LMC-RRLYR-01421	RRab	72.974790	-70.220833	18.946	-99.99	-99.99	0.53789180	0.00001070	6000.23355	0.743	0.496	3.859	0.303	1.818
OGLE-LMC-RRLYR-01422	RRab	72.975960	-66.979472	18.569	19.081	0.512	0.61491550	0.00000430	6000.25325	0.404	0.215	4.264	0.115	0.320
OGLE-LMC-RRLYR-01423	RRab	72.978420	-67.597861	18.684	19.223	0.539	0.58385180	0.00000060	6000.34351	0.693	0.442	4.194	0.363	2.171
OGLE-LMC-RRLYR-01424	RRab	72.979875	-70.730667	18.832	19.385	0.553	0.54061120	0.00000060	6000.04035	0.736	0.503	4.171	0.369	2.322
OGLE-LMC-RRLYR-01425	RRab	72.981465	-68.876222	19.031	19.640	0.609	0.54967850	0.00000090	6000.18550	0.572	0.411	4.251	0.301	2.299
OGLE-LMC-RRLYR-01426	RRab	72.984495	-68.489417	18.876	19.417	0.541	0.52594480	0.00000050	6000.28912	0.750	0.458	4.165	0.368	2.255
OGLE-LMC-RRLYR-01427	RRab	72.984660	-69.702167	18.672	19.305	0.633	0.64512590	0.00000310	6000.43453	0.210	0.356	4.813	0.145	3.957
OGLE-LMC-RRLYR-01428	RRab	72.986460	-70.265056	18.765	19.427	0.662	0.63061390	0.00000110	6000.28567	0.445	0.477	4.538	0.296	3.088
OGLE-LMC-RRLYR-01429	RRab	72.987000	-68.853611	18.907	19.580	0.673	0.67867580	0.00000390	6000.36245	0.268	0.361	4.551	0.153	3.463
OGLE-LMC-RRLYR-01430	RRab	72.987090	-69.244528	18.744	19.467	0.723	0.69610350	0.00000160	6000.20705	0.512	0.486	4.370	0.350	2.772
OGLE-LMC-RRLYR-01431	RRab	72.988710	-68.899611	18.824	19.635	0.811	0.56523590	0.00000250	6000.06597	0.418	0.468	4.343	0.298	2.639
OGLE-LMC-RRLYR-01432	RRab	72.992910	-68.865833	18.888	19.510	0.622	0.57553580	0.00000090	6000.17116	0.547	0.486	4.267	0.350	2.486
OGLE-LMC-RRLYR-01433	RRab	72.993840	-67.693167	18.421	18.845	0.424	0.61964040	0.00000130	6000.22846	0.301	0.408	4.504	0.284	2.985
OGLE-LMC-RRLYR-01434	RRab	72.996750	-68.461556	18.757	19.373	0.616	0.57187060	0.00000160	6000.51232	0.503	0.417	4.230	0.322	2.300
OGLE-LMC-RRLYR-01435	RRab	72.998505	-66.856611	19.520	20.303	0.783	0.50420640	0.00000060	6000.46350	0.873	0.545	4.176	0.404	2.241
OGLE-LMC-RRLYR-01437	RRab	72.999585	-69.668528	19.135	19.719	0.584	0.56482340	0.00000090	6000.11212	0.716	0.488	4.280	0.344	2.543
OGLE-LMC-RRLYR-01439	RRab	73.004250	-67.229278	20.322	21.834	1.512	0.57977220	0.00000380	6000.49053	0.517	0.462	4.406	0.261	2.514
OGLE-LMC-RRLYR-01440	RRab	73.012290	-68.545556	19.238	19.900	0.662	0.49689050	0.00000060	6000.21120	0.862	0.496	4.017	0.408	2.006
OGLE-LMC-RRLYR-01441	RRab	73.017330	-68.933417	19.159	19.990	0.831	0.66895070	0.00000250	6000.66265	0.409	0.477	4.654	0.243	3.353
OGLE-LMC-RRLYR-01442	RRab	73.019715	-69.785806	19.012	19.683	0.671	0.57826420	0.00000150	6000.42578	0.537	0.465	4.371	0.314	2.663
OGLE-LMC-RRLYR-01444	RRab	73.024665	-69.138167	19.329	19.911	0.582	0.41982900	0.00000050	6000.30866	0.763	0.548	4.125	0.362	2.364
OGLE-LMC-RRLYR-01445	RRab	73.027965	-66.984000	19.602	20.726	1.124	0.62641800	0.00000400	6000.11365	0.306	0.338	4.509	0.167	2.892
OGLE-LMC-RRLYR-01446	RRab	73.029255	-68.449972	19.076	19.650	0.574	0.54435840	0.00000080	6000.26146	0.699	0.492	4.197	0.392	2.453
OGLE-LMC-RRLYR-01448	RRab	73.035255	-70.557972	18.887	19.479	0.592	0.57318900	0.00000090	6000.48103	0.596	0.478	4.202	0.369	2.536
OGLE-LMC-RRLYR-01451	RRab	73.040835	-69.774972	19.208	19.833	0.625	0.51940310	0.00000210	6000.45613	0.372	0.505	4.661	0.239	3.432
OGLE-LMC-RRLYR-01453	RRab	73.049250	-69.636500	18.736	19.347	0.611	0.64885920	0.00000190	6000.45950	0.417	0.463	4.494	0.275	3.096
OGLE-LMC-RRLYR-01454	RRab	73.050960	-66.998806	19.064	19.568	0.504	0.45581720	0.00000050	6000.40246	0.723	0.537	4.328	0.361	2.621
OGLE-LMC-RRLYR-01455	RRab	73.051455	-67.176278	19.029	19.766	0.737	0.64955670	0.00000230	6000.63151	0.625	0.507	4.251	0.330	2.390
OGLE-LMC-RRLYR-01456	RRab	73.056000	-67.329500	18.687	19.150	0.463	0.53429350	0.00000060	6000.42004	0.742	0.443	4.116	0.379	2.102
OGLE-LMC-RRLYR-01457	RRab	73.057005	-68.791861	18.953	19.652	0.699	0.63065910	0.00000320	6000.26428	0.245	0.341	4.630	0.147	3.497
OGLE-LMC-RRLYR-01458	RRab	73.060335	-70.620667	18.799	19.350	0.551	0.56195990	0.00000100	6000.11731	0.651	0.439	4.175	0.300	2.142
OGLE-LMC-RRLYR-01460	RRab	73.061340	-69.767944	19.139	19.791	0.652	0.62824320	0.00000120	6000.30350	0.733	0.531	4.300	0.380	2.614
OGLE-LMC-RRLYR-01462	RRab	73.062120	-69.867417	18.716	19.425	0.709	0.69596010	0.00000170	6000.24071	0.410	0.439	4.521	0.309	2.974
OGLE-LMC-RRLYR-01463	RRab	73.062165	-70.593361	19.238	19.817	0.579	0.47196780	0.00000040	6000.38657	0.857	0.473	4.022	0.372	2.004
OGLE-LMC-RRLYR-01464	RRab	73.062795	-69.235444	18.608	19.005	0.397	0.59386800	0.00000980	6000.15191	0.105	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-01466	RRab	73.064040	-70.308056	18.974	19.583	0.609	0.54039400	0.00000060	6000.39437	0.623	0.482	4.292	0.353	2.551
OGLE-LMC-RRLYR-01467	RRab	73.065630	-68.457944	19.075	19.766	0.691	0.61337230	0.00000250	6000.42732	0.328	0.378	4.470	0.247	3.001
OGLE-LMC-RRLYR-01468	RRab	73.066995	-70.299111	18.837	19.437	0.600	0.57071670	0.00000100	6000.03997	0.603	0.459	4.197	0.388	2.401
OGLE-LMC-RRLYR-01469	RRab	73.067415	-69.026639	18.990	19.590	0.600	0.46522940	0.00000110	6000.34417	0.402	0.536	4.552	0.335	2.877
OGLE-LMC-RRLYR-01470	RRab	73.070580	-70.178194	18.326	18.924	0.598	0.66719870	0.00000090	6000.09584	0.450	0.428	4.331	0.304	2.561
OGLE-LMC-RRLYR-01471	RRab	73.071630	-68.799694	19.015	19.701	0.686	0.64027330	0.00000200	6000.47232	0.382	0.421	4.805	0.216	3.480
OGLE-LMC-RRLYR-01472	RRab	73.074840	-69.729361	19.170	19.981	0.811	0.65117510	0.00000290	6000.17130	0.341	0.437	4.488	0.245	2.909
OGLE-LMC-RRLYR-01475	RRab	73.080045	-70.567056	18.843	19.377	0.534	0.50122870	0.00000040	6000.02765	0.787	0.446	4.037	0.363	1.887
OGLE-LMC-RRLYR-01476	RRab	73.080285	-68.388472	18.990	-99.99	-99.99	0.50256290	0.00000100	6000.42133	0.572	0.971	5.320	0.185	-99.99
OGLE-LMC-RRLYR-01477	RRab	73.082040	-68.543361	18.809	19.339	0.530	0.52413520	0.00000180	6000.30578	0.480	0.342	4.316	0.188	2.394
OGLE-LMC-RRLYR-01478	RRab	73.082415	-67.151806	19.308	19.953	0.645	0.48683180	0.00000640	6000.44905	0.207	0.278	4.103	0.000	-99.99
OGLE-LMC-RRLYR-01480	RRab	73.087875	-69.055500	19.492	20.171	0.679	0.44802280	0.00000140	6000.12099	0.577	0.495	4.283	0.266	2.435
OGLE-LMC-RRLYR-01481	RRab	73.089750	-67.871000	18.680	19.307	0.627	0.76170320	0.00000480	6000.10030	0.198	0.312	4.740	0.159	3.836
OGLE-LMC-RRLYR-01482	RRab	73.091790	-68.284722	19.107	19.753	0.646	0.47995110	0.00000310	6000.12015	0.338	0.184	4.723	0.117	3.045
OGLE-LMC-RRLYR-01483	RRab	73.093035	-68.363861	18.675	19.244	0.569	0.58174610	0.00000090	6000.15077	0.609	0.466	4.156	0.346	2.333
OGLE-LMC-RRLYR-01484	RRab	73.093875	-69.220750	18.939	19.464	0.525	0.53462320	0.00000080	6000.17805	0.729	0.487	4.195	0.379	2.341
OGLE-LMC-RRLYR-01485	RRab	73.094580	-67.887889	18.797	19.295	0.498	0.58733500	0.00000080	6000.30035	0.773	0.499	4.198	0.359	2.357
OGLE-LMC-RRLYR-01486	RRab	73.095705	-68.000222	18.403	19.027	0.624	0.90781330	0.00000710	6000.21337	0.141	0.260	5.170	0.000	-99.99
OGLE-LMC-RRLYR-01488	RRab	73.096500	-69.492722	19.380	20.083	0.703	0.53106860	0.00000140	6000.19273	0.577	0.484	4.588	0.321	3.189
OGLE-LMC-RRLYR-01489	RRab	73.100160	-69.551722	19.003	19.688	0.685	0.57338130	0.00000100	6000.57118	0.571	0.484	4.230	0.358	2.509
OGLE-LMC-RRLYR-01490	RRab	73.101795	-67.376528	18.804	19.334	0.530	0.47043380	0.00000050	6000.46434	0.802	0.474	4.119	0.341	1.981
OGLE-LMC-RRLYR-01491	RRab	73.102545	-69.560472	18.863	19.461	0.598	0.57744070	0.00000090	6000.11896	0.553	0.500	4.268	0.365	2.460
OGLE-LMC-RRLYR-01492	RRab	73.105920	-68.345722	18.808	19.336	0.528	0.55226710	0.00000130	6000.14920	0.539	0.411	4.165	0.271	2.225
OGLE-LMC-RRLYR-01494	RRab	73.113255	-67.943472	18.950	19.453	0.503	0.52136730	0.00000040	6000.34814	0.887	0.477	4.031	0.400	2.086
OGLE-LMC-RRLYR-01495	RRab	73.115205	-68.610778	19.027	19.516	0.489	0.50542630	0.00000050	6000.15040	0.870	0.476	4.111	0.369	2.124
OGLE-LMC-RRLYR-01499	RRab	73.117245	-68.866694	18.698	19.223	0.525	0.58141580	0.00000050	6000.34905	0.745	0.531	4.184	0.344	2.354
OGLE-LMC-RRLYR-01500	RRab	73.117245	-69.512000	19.059	19.770	0.711	0.64778300	0.00000170	6000.29546	0.510	0.507	4.419	0.313	2.816
OGLE-LMC-RRLYR-01503	RRab	73.122585	-69.119333	18.866	19.393	0.527	0.51304940	0.00000040	6000.41403	0.880	0.482	4.132	0.357	2.177
OGLE-LMC-RRLYR-01504	RRab	73.127535	-68.734000	19.101	19.709	0.608	0.49075210	0.00000090	6000.41293	0.643	0.444	4.152	0.269	2.100
OGLE-LMC-RRLYR-01506	RRab	73.128750	-69.992500	18.922	19.493	0.571	0.55861330	0.00000090	6000.10027	0.579	0.473	4.280	0.339	2.455
OGLE-LMC-RRLYR-01507	RRab	73.129290	-67.255694	18.699	19.233	0.534	0.56527190	0.00000070	6000.51765	0.644	0.487	4.256	0.390	2.442
OGLE-LMC-RRLYR-01512	RRab	73.144965	-67.310306	18.831	-99.99	-99.99	0.51995560	0.00000260	6000.50789	0.857	0.489	3.806	0.420	2.049
OGLE-LMC-RRLYR-01514	RRab	73.146120	-68.771167	18.819	19.430	0.611	0.55012380	0.00000160	6000.47993	0.502	0.373	4.209	0.265	2.048
OGLE-LMC-RRLYR-01515	RRab	73.146330	-70.202861	18.989	19.481	0.492	0.49370120	0.00000060	6000.02159	0.724	0.474	4.093	0.312	2.142
OGLE-LMC-RRLYR-01516	RRab	73.146840	-69.374639	18.944	19.601	0.657	0.60286520	0.00000120	6000.59516	0.608	0.455	4.176	0.343	2.345
OGLE-LMC-RRLYR-01518	RRab	73.147785	-69.176444	18.897	19.511	0.614	0.60102160	0.00000160	6000.55814	0.488	0.455	4.409	0.339	2.738
OGLE-LMC-RRLYR-01520	RRab	73.149840	-68.985750	19.052	-99.99	-99.99	0.48320320	0.00000500	6000.40158	0.815	0.421	4.333	0.287	2.450
OGLE-LMC-RRLYR-01521	RRab	73.150170	-68.164528	19.091	19.797	0.706	0.62692260	0.00000100	6000.21291	0.614	0.487	4.234	0.369	2.596
OGLE-LMC-RRLYR-01522	RRab	73.151715	-67.132472	18.753	-99.99	-99.99	0.53569200	0.00000350	6000.22795	0.533	0.377	4.026	0.206	2.033
OGLE-LMC-RRLYR-01524	RRab	73.158090	-68.061444	18.975	19.655	0.680	0.58591690	0.00000120	6000.47965	0.462	0.453	4.402	0.325	2.846
OGLE-LMC-RRLYR-01525	RRab	73.158840	-69.366806	19.322	19.828	0.506	0.41191460	0.00000060	6000.19735	0.805	0.554	4.096	0.386	2.305
OGLE-LMC-RRLYR-01527	RRab	73.159215	-66.898972	18.800	-99.99	-99.99	0.53539150	0.00000130	6000.52983	0.624	0.508	4.181	0.302	2.172
OGLE-LMC-RRLYR-01528	RRab	73.160085	-70.638361	18.834	19.384	0.550	0.54727200	0.00000040	6000.29177	0.757	0.473	4.132	0.382	2.228
OGLE-LMC-RRLYR-01529	RRab	73.161375	-68.004194	19.142	19.748	0.606	0.58036970	0.00000100	6000.41379	0.695	0.503	4.632	0.355	3.067
OGLE-LMC-RRLYR-01530	RRab	73.163625	-67.281167	18.438	18.982	0.544	0.66103380	0.00000080	6000.47469	0.682	0.512	4.281	0.342	2.584
OGLE-LMC-RRLYR-01531	RRab	73.164045	-68.300806	19.052	19.801	0.749	0.57427360	0.00000200	6000.30886	0.424	0.471	4.457	0.216	2.612
OGLE-LMC-RRLYR-01533	RRab	73.168500	-68.215500	19.161	19.745	0.584	0.50735580	0.00000160	6000.13150	0.544	0.383	4.083	0.185	2.140
OGLE-LMC-RRLYR-01534	RRab	73.169625	-68.641361	18.583	19.175	0.592	0.57248310	0.00000080	6000.01920	0.520	0.453	4.236	0.349	2.360
OGLE-LMC-RRLYR-01536	RRab	73.175415	-68.530667	18.728	19.628	0.900	0.64500300	0.00000340	6000.09101	0.215	0.372	4.515	0.219	3.153
OGLE-LMC-RRLYR-01537	RRab	73.178910	-68.613639	18.831	18.955	0.124	0.59181490	0.00000110	6000.59084	0.515	0.452	4.394	0.346	2.743
OGLE-LMC-RRLYR-01538	RRab	73.179375	-68.027972	18.695	19.268	0.573	0.67226530	0.00000260	6000.53520	0.544	0.477	4.542	0.258	2.694
OGLE-LMC-RRLYR-01540	RRab	73.181625	-69.117333	19.474	20.387	0.913	0.57222260	0.00000230	6000.24666	0.532	0.492	4.375	0.362	2.542
OGLE-LMC-RRLYR-01541	RRab	73.182375	-69.493528	18.855	19.459	0.604	0.55645670	0.00000090	6000.12651	0.654	0.475	4.229	0.372	2.377
OGLE-LMC-RRLYR-01542	RRab	73.184130	-68.086639	19.068	19.749	0.681	0.54965320	0.00000070	6000.06050	0.658	0.467	4.158	0.386	2.255
OGLE-LMC-RRLYR-01543	RRab	73.188750	-67.421861	18.778	19.328	0.550	0.56146380	0.00000080	6000.29249	0.714	0.492	4.289	0.342	2.386
OGLE-LMC-RRLYR-01544	RRab	73.190955	-69.536667	18.837	19.350	0.513	0.51628500	0.00000050	6000.33375	0.856	0.423	4.151	0.345	2.056
OGLE-LMC-RRLYR-01545	RRab	73.193790	-69.747972	18.841	19.467	0.626	0.59964110	0.00000130	6000.10742	0.399	0.444	4.493	0.269	3.005
OGLE-LMC-RRLYR-01547	RRab	73.195080	-69.310472	19.297	20.159	0.862	0.60925280	0.00000300	6000.06498	0.416	0.411	4.330	0.306	2.763
OGLE-LMC-RRLYR-01548	RRab	73.196910	-68.963167	18.773	19.365	0.592	0.58511750	0.00000070	6000.21948	0.786	0.509	4.196	0.356	2.359
OGLE-LMC-RRLYR-01549	RRab	73.198080	-69.856028	18.593	19.053	0.460	0.48318000	0.00000040	6000.04911	0.631	0.489	4.047	0.383	1.979
OGLE-LMC-RRLYR-01550	RRab	73.200840	-70.716528	18.979	19.726	0.747	0.60950610	0.00000170	6000.01406	0.397	0.444	4.374	0.317	2.937
OGLE-LMC-RRLYR-01551	RRab	73.201755	-68.212222	18.943	19.589	0.646	0.61966300	0.00000170	6000.57758	0.377	0.459	4.684	0.270	2.999
OGLE-LMC-RRLYR-01552	RRab	73.203705	-70.010028	18.867	19.584	0.717	0.65832540	0.00000480	6000.00280	0.172	0.275	4.596	0.125	-99.99
OGLE-LMC-RRLYR-01555	RRab	73.213125	-68.831472	18.631	19.318	0.687	0.50867210	0.00000190	6000.11976	0.362	0.352	4.136	0.234	1.661
OGLE-LMC-RRLYR-01556	RRab	73.213245	-68.912417	18.929	-99.99	-99.99	0.47262520	0.00000050	6000.45238	0.809	0.473	4.018	0.374	2.031
OGLE-LMC-RRLYR-01558	RRab	73.219710	-69.563972	18.967	19.617	0.650	0.57778190	0.00000140	6000.03575	0.548	0.492	4.427	0.370	2.793
OGLE-LMC-RRLYR-01560	RRab	73.223250	-69.078944	18.859	19.442	0.583	0.52888960	0.00000060	6000.35630	0.718	0.500	4.202	0.359	2.323
OGLE-LMC-RRLYR-01561	RRab	73.224165	-66.880944	18.685	19.315	0.630	0.69150350	0.00000290	6000.55846	0.285	0.415	4.736	0.211	3.382
OGLE-LMC-RRLYR-01563	RRab	73.228410	-67.854722	18.796	-99.99	-99.99	0.49448490	0.00000130	6000.42037	0.808	0.484	4.123	0.342	1.993
OGLE-LMC-RRLYR-01565	RRab	73.232955	-67.153778	18.668	-99.99	-99.99	0.65012790	0.00000160	6000.43302	0.373	0.566	4.441	0.419	3.095
OGLE-LMC-RRLYR-01566	RRab	73.234455	-69.303861	19.415	20.126	0.711	0.27825910	0.00000080	6000.19822	0.443	0.549	4.412	0.184	2.956
OGLE-LMC-RRLYR-01567	RRab	73.234995	-68.089833	19.285	-99.99	-99.99	0.65428440	0.00000450	6000.03981	0.143	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-01571	RRab	73.243995	-68.838944	18.462	19.167	0.705	0.63618370	0.00000090	6000.52977	0.494	0.521	4.328	0.360	2.630
OGLE-LMC-RRLYR-01572	RRab	73.246380	-69.004889	18.871	-99.99	-99.99	0.59635400	0.00000390	6000.38744	0.373	0.386	4.623	0.222	3.490
OGLE-LMC-RRLYR-01574	RRab	73.251585	-70.098750	18.944	19.464	0.520	0.49109380	0.00000040	6000.38108	0.851	0.438	4.104	0.355	1.905
OGLE-LMC-RRLYR-01575	RRab	73.252620	-69.539528	18.890	19.562	0.672	0.64140180	0.00000180	6000.06956	0.412	0.491	4.561	0.310	3.055
OGLE-LMC-RRLYR-01577	RRab	73.255080	-69.226917	18.714	19.326	0.612	0.62896360	0.00000080	6000.16875	0.781	0.531	4.307	0.356	2.562
OGLE-LMC-RRLYR-01578	RRab	73.255620	-68.251250	18.691	19.292	0.601	0.60020860	0.00000100	6000.10755	0.535	0.487	4.347	0.350	2.743
OGLE-LMC-RRLYR-01579	RRab	73.257285	-67.163111	18.841	-99.99	-99.99	0.57093190	0.00000080	6000.22138	0.611	0.596	4.192	0.389	2.344
OGLE-LMC-RRLYR-01580	RRab	73.257375	-67.192722	18.815	19.448	0.633	0.62462600	0.00000280	6000.08513	0.340	0.362	4.628	0.242	3.173
OGLE-LMC-RRLYR-01582	RRab	73.261785	-67.392667	18.617	19.228	0.611	0.63588450	0.00000190	6000.06959	0.312	0.345	4.506	0.230	3.129
OGLE-LMC-RRLYR-01584	RRab	73.263465	-68.510111	19.225	19.849	0.624	0.49847320	0.00000160	6000.44436	0.548	0.350	4.226	0.231	1.913
OGLE-LMC-RRLYR-01585	RRab	73.264665	-66.734111	19.199	20.016	0.817	0.59847720	0.00000090	6000.21442	0.707	0.485	4.156	0.363	2.367
OGLE-LMC-RRLYR-01586	RRab	73.265340	-66.806472	18.965	19.468	0.503	0.51052830	0.00000050	6000.48302	0.768	0.490	4.061	0.376	2.122
OGLE-LMC-RRLYR-01587	RRab	73.271955	-69.957500	20.519	22.054	1.535	0.58896310	0.00000390	6000.52423	0.540	0.446	4.515	0.000	-99.99
OGLE-LMC-RRLYR-01588	RRab	73.274625	-70.197444	18.914	19.520	0.606	0.56906230	0.00000100	6000.04461	0.611	0.539	4.157	0.440	2.410
OGLE-LMC-RRLYR-01589	RRab	73.275000	-68.234139	18.717	19.346	0.629	0.62542470	0.00000070	6000.28755	0.658	0.452	4.221	0.360	2.324
OGLE-LMC-RRLYR-01592	RRab	73.280580	-67.173972	18.520	19.113	0.593	0.74195640	0.00000560	6000.55381	0.163	0.270	4.764	0.000	-99.99
OGLE-LMC-RRLYR-01593	RRab	73.282830	-69.650972	18.790	19.432	0.642	0.62353030	0.00000190	6000.07658	0.341	0.404	4.581	0.248	2.990
OGLE-LMC-RRLYR-01594	RRab	73.287630	-69.982917	18.716	19.157	0.441	0.53263010	0.00000110	6000.07880	0.480	0.439	4.229	0.245	2.207
OGLE-LMC-RRLYR-01596	RRab	73.289580	-70.560278	18.728	19.305	0.577	0.67877940	0.00000100	6000.56766	0.704	0.539	4.509	0.352	2.761
