# Date:     2025-02-15 17:51:33
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-CEP-0426	1	74.074920	-68.274111	15.775	16.486	0.711	1.6380034	0.0000061	6000.11255	0.129	0.118	4.619	0.015	3.051
OGLE-LMC-CEP-0427	1	74.080830	-68.566639	14.620	-99.99	-99.99	4.1119838	0.0000181	6003.65379	0.168	0.312	3.151	0.111	2.347
OGLE-LMC-CEP-0428	F	74.087415	-68.793333	15.978	16.657	0.679	1.9628210	0.0000020	6000.76534	0.581	0.490	4.246	0.292	2.419
OGLE-LMC-CEP-0429	F	74.092170	-70.381472	15.456	16.127	0.671	2.8663217	0.0000044	6001.55372	0.591	0.462	4.378	0.255	2.529
OGLE-LMC-CEP-0430	F	74.094540	-68.961861	15.710	16.504	0.794	2.8878725	0.0000032	6000.45435	0.405	0.440	4.542	0.220	2.851
OGLE-LMC-CEP-0431	1	74.097165	-66.683694	14.962	15.558	0.596	2.4014179	0.0000123	6000.50864	0.226	0.095	4.814	0.000	-99.99
OGLE-LMC-CEP-0432	F1	74.101620	-69.315917	14.911	15.638	0.727	3.8840025	0.0000312	6000.17521	0.212	0.175	4.437	0.031	2.499
OGLE-LMC-CEP-0433	F	74.107455	-67.888056	15.697	16.470	0.773	2.4446087	0.0000025	6001.10787	0.458	0.471	4.321	0.260	2.568
OGLE-LMC-CEP-0434	F	74.114625	-69.379639	-99.99	13.416	-99.99	30.3485347	0.0024039	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0435	12	74.114880	-70.170194	16.596	17.214	0.618	0.8212175	0.0000013	6000.49612	0.224	0.230	3.675	0.096	1.638
OGLE-LMC-CEP-0436	F	74.123625	-68.889500	15.755	16.525	0.770	2.6509563	0.0000031	6000.78961	0.482	0.466	4.479	0.249	2.743
OGLE-LMC-CEP-0437	F	74.133705	-66.905111	14.934	15.692	0.758	4.5160546	0.0000147	6001.35418	0.456	0.430	4.781	0.206	3.353
OGLE-LMC-CEP-0438	F	74.139495	-67.293472	15.443	16.156	0.713	2.9476473	0.0000044	6000.87536	0.505	0.470	4.534	0.258	2.810
OGLE-LMC-CEP-0439	F	74.139840	-70.155778	15.391	16.135	0.744	3.2134335	0.0000040	6002.19712	0.536	0.477	4.569	0.277	2.894
OGLE-LMC-CEP-0440	F	74.142870	-70.110556	15.254	16.002	0.748	3.5683067	0.0000041	6002.52468	0.486	0.444	4.608	0.236	3.017
OGLE-LMC-CEP-0441	F	74.145120	-69.965500	15.938	16.684	0.746	2.2623436	0.0000030	6000.04853	0.387	0.398	4.467	0.185	2.705
OGLE-LMC-CEP-0442	F	74.154000	-69.452333	14.915	15.611	0.696	4.3273056	0.0000077	6000.44926	0.611	0.448	4.594	0.225	2.942
OGLE-LMC-CEP-0443	F	74.161245	-69.300806	15.432	-99.99	-99.99	2.7309990	0.0000066	6000.94493	0.628	0.484	4.393	0.272	2.524
OGLE-LMC-CEP-0444	1	74.163285	-68.634639	14.517	15.204	0.687	3.8876642	0.0000222	6000.53514	0.224	0.202	4.238	0.078	1.497
OGLE-LMC-CEP-0445	F	74.166960	-68.672778	15.418	16.341	0.923	3.3829479	0.0000058	6002.64205	0.359	0.404	4.622	0.188	3.032
OGLE-LMC-CEP-0446	1	74.170875	-68.586389	14.509	15.178	0.669	3.5439793	0.0000143	6000.87646	0.148	0.080	3.769	0.018	6.210
OGLE-LMC-CEP-0447	F	74.173380	-68.810944	15.719	-99.99	-99.99	2.5641684	0.0000099	6002.12311	0.443	0.467	4.459	0.237	2.627
OGLE-LMC-CEP-0448	1	74.178255	-69.257444	15.790	16.459	0.669	1.6742577	0.0000072	6001.18440	0.160	0.114	4.653	0.024	3.549
OGLE-LMC-CEP-0449	1	74.178465	-69.498667	14.573	15.258	0.685	3.6175237	0.0000326	6002.31066	0.072	0.058	3.860	0.000	-99.99
OGLE-LMC-CEP-0450	F	74.181165	-67.652444	14.764	15.587	0.823	5.4059402	0.0000175	6000.39458	0.249	0.309	4.923	0.057	3.684
OGLE-LMC-CEP-0451	F	74.184795	-66.882444	15.589	16.195	0.606	2.3645000	0.0000020	6001.84871	0.658	0.498	4.290	0.278	2.462
OGLE-LMC-CEP-0452	1	74.187585	-68.515361	15.905	16.525	0.620	1.3805060	0.0000053	6000.68109	0.302	0.230	4.248	0.067	2.201
OGLE-LMC-CEP-0453	1	74.201040	-69.422528	14.971	-99.99	-99.99	2.7002535	0.0000137	6001.12749	0.213	0.052	4.321	0.062	0.234
OGLE-LMC-CEP-0454	1	74.214375	-68.695083	15.624	16.354	0.730	1.8787210	0.0000061	6001.45315	0.204	0.147	4.678	0.019	3.154
OGLE-LMC-CEP-0455	1	74.218755	-70.430028	15.245	16.031	0.786	2.7149616	0.0000097	6001.47523	0.242	0.056	4.297	0.025	5.751
OGLE-LMC-CEP-0456	1	74.219295	-68.176556	18.358	18.987	0.629	0.2813897	0.0000007	6000.06229	0.138	0.117	6.172	0.000	-99.99
OGLE-LMC-CEP-0457	F	74.223120	-69.631861	15.424	16.139	0.715	3.0598089	0.0000338	6001.58541	0.472	0.387	4.561	0.206	2.715
OGLE-LMC-CEP-0458	F	74.228745	-70.430389	15.502	16.413	0.911	3.8439281	0.0000062	6002.47099	0.467	0.436	4.623	0.230	3.017
OGLE-LMC-CEP-0459	F	74.256255	-68.253222	15.149	15.962	0.813	3.7522471	0.0000048	6001.66960	0.414	0.432	4.571	0.214	2.930
OGLE-LMC-CEP-0460	F	74.256585	-67.491361	15.388	16.148	0.760	3.1534294	0.0000066	6000.78779	0.425	0.444	4.564	0.226	2.898
OGLE-LMC-CEP-0461	F	74.257410	-67.995167	-99.99	14.246	-99.99	45.1660779	0.0118114	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0462	F	74.269335	-68.571750	14.338	15.287	0.949	7.0590147	0.0000394	6004.92232	0.237	0.186	4.711	0.026	2.834
OGLE-LMC-CEP-0463	F	74.269965	-67.126583	15.321	16.074	0.753	3.3406376	0.0000131	6001.15613	0.181	0.246	4.530	0.059	2.854
OGLE-LMC-CEP-0464	12	74.286330	-69.887056	16.626	17.126	0.500	0.7086407	0.0000013	6000.16555	0.276	0.229	3.884	0.091	1.620
OGLE-LMC-CEP-0465	F	74.288460	-69.622333	15.310	-99.99	-99.99	3.7262972	0.0000623	6001.54515	0.494	0.391	4.500	0.197	2.971
OGLE-LMC-CEP-0466	F	74.288745	-68.892861	15.760	16.620	0.860	3.0000362	0.0000094	6001.57298	0.411	0.405	-99.99	0.193	-99.99
OGLE-LMC-CEP-0467	F	74.301375	-67.382583	12.775	13.704	0.929	22.7195429	0.0004800	6008.11996	0.666	0.327	4.990	0.223	3.357
OGLE-LMC-CEP-0468	1	74.303295	-68.683139	15.268	15.887	0.619	2.1680596	0.0000038	6001.69074	0.284	0.182	4.649	0.028	3.445
OGLE-LMC-CEP-0469	1	74.306250	-68.684889	15.149	15.840	0.691	2.3562501	0.0000084	6001.23939	0.232	0.080	4.999	0.018	5.348
OGLE-LMC-CEP-0470	1	74.315745	-68.296556	15.409	16.074	0.665	1.9342602	0.0000055	6001.29303	0.209	0.142	4.576	0.000	-99.99
OGLE-LMC-CEP-0471	1	74.319120	-70.783250	14.947	15.674	0.727	2.1713872	0.0000093	6001.05117	0.132	0.103	4.492	0.023	2.752
OGLE-LMC-CEP-0472	1	74.326545	-69.900028	14.703	15.409	0.706	3.2833980	0.0000155	6002.39852	0.197	0.092	3.391	0.046	0.039
OGLE-LMC-CEP-0473	F	74.331420	-68.821306	15.590	16.335	0.745	2.6335228	0.0000028	6001.11203	0.461	0.417	4.480	0.216	2.682
OGLE-LMC-CEP-0474	1	74.333670	-69.297194	16.281	17.326	1.045	0.8159147	0.0000056	6000.60289	0.126	0.148	3.413	0.077	1.399
OGLE-LMC-CEP-0475	F	74.341335	-67.854833	15.441	16.181	0.740	2.9503705	0.0000038	6000.78244	0.464	0.449	4.524	0.230	2.816
OGLE-LMC-CEP-0476	12	74.341620	-68.209306	16.479	17.016	0.537	0.8318013	0.0000013	6000.77230	0.237	0.259	3.937	0.093	1.984
OGLE-LMC-CEP-0477	1	74.347215	-69.155556	15.470	16.135	0.665	1.9574745	0.0000146	6001.19964	0.192	0.129	4.943	0.033	4.365
OGLE-LMC-CEP-0478	F	74.354745	-69.567250	15.471	16.160	0.689	2.7641211	0.0000032	6000.97151	0.622	0.472	4.392	0.265	2.517
OGLE-LMC-CEP-0479	F	74.359335	-66.723583	14.960	15.627	0.667	3.9145324	0.0000120	6003.30860	0.433	0.430	4.668	0.211	3.095
OGLE-LMC-CEP-0480	F	74.363505	-69.355167	15.779	16.865	1.086	4.0349945	0.0000094	6003.13023	0.399	0.415	4.705	0.186	3.186
OGLE-LMC-CEP-0481	F	74.363955	-68.601278	16.224	16.909	0.685	1.5708060	0.0000012	6000.03974	0.408	0.419	4.233	0.214	2.241
OGLE-LMC-CEP-0482	F	74.369715	-69.226917	14.661	15.655	0.994	7.4659114	0.0000223	6002.76836	0.425	0.366	5.230	0.129	3.534
OGLE-LMC-CEP-0483	1	74.380410	-67.079056	17.320	17.998	0.678	0.5439647	0.0000011	6000.27105	0.173	0.090	2.383	0.063	0.379
OGLE-LMC-CEP-0484	F	74.413590	-69.655417	14.902	15.641	0.739	4.4161858	0.0000060	6004.39410	0.582	0.456	4.621	0.233	3.034
OGLE-LMC-CEP-0485	1	74.414250	-68.022444	16.705	17.239	0.534	0.6908298	0.0000006	6000.31669	0.300	0.191	3.535	0.096	1.045
OGLE-LMC-CEP-0486	F	74.420295	-68.566444	15.403	16.156	0.753	3.0692856	0.0000050	6000.87432	0.345	0.376	4.572	0.164	2.857
OGLE-LMC-CEP-0487	F	74.421750	-69.405444	15.469	16.221	0.752	3.1093028	0.0000045	6001.10321	0.478	0.444	4.538	0.241	2.839
OGLE-LMC-CEP-0488	F	74.421795	-68.800111	15.608	16.535	0.927	3.6470059	0.0000061	6002.61687	0.472	0.456	4.654	0.235	3.094
OGLE-LMC-CEP-0489	1	74.429625	-68.467167	16.219	16.877	0.658	1.1834914	0.0000019	6000.57473	0.217	0.194	4.239	0.050	1.869
OGLE-LMC-CEP-0490	F	74.430210	-66.802111	16.214	16.870	0.656	1.7809169	0.0000026	6001.31729	0.324	0.393	4.325	0.193	2.565
OGLE-LMC-CEP-0491	F	74.431380	-70.053556	14.489	15.342	0.853	3.9792303	0.0000090	6001.49679	0.342	0.419	4.433	0.207	2.681
OGLE-LMC-CEP-0492	F	74.437920	-70.601611	14.600	15.304	0.704	5.2393865	0.0000126	6003.49682	0.567	0.445	4.680	0.194	3.036
OGLE-LMC-CEP-0493	12	74.440410	-68.239306	16.739	17.306	0.567	0.7088660	0.0000005	6000.52175	0.367	0.261	3.661	0.142	1.373
OGLE-LMC-CEP-0494	F	74.440545	-69.062556	16.013	16.973	0.960	2.7270208	0.0000041	6000.63041	0.596	0.502	4.439	0.291	2.692
OGLE-LMC-CEP-0495	1	74.442465	-70.289417	15.517	16.228	0.711	2.0744481	0.0000110	6000.74234	0.138	0.137	4.977	0.033	4.652
OGLE-LMC-CEP-0496	F	74.446590	-68.390472	15.438	-99.99	-99.99	3.1676063	0.0000794	6000.04660	0.499	0.394	4.465	0.196	2.763
OGLE-LMC-CEP-0497	1	74.451750	-68.124944	15.032	15.645	0.613	2.4346379	0.0000126	6002.11202	0.093	0.042	5.102	0.000	-99.99
OGLE-LMC-CEP-0498	F	74.455170	-68.719944	15.154	15.914	0.760	3.6299845	0.0000140	6001.87020	0.240	0.210	4.452	0.048	2.653
OGLE-LMC-CEP-0499	F	74.458920	-68.989583	14.120	-99.99	-99.99	8.8309672	0.0000437	6004.74682	0.501	0.241	5.127	0.174	4.226
OGLE-LMC-CEP-0500	F	74.461875	-67.838556	13.889	14.255	0.366	13.9793586	0.0021672	6002.81726	1.047	0.202	5.369	0.103	2.128
OGLE-LMC-CEP-0501	F	74.462670	-69.958250	-99.99	13.564	-99.99	23.3111155	0.0005380	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0502	F	74.463420	-68.304222	14.882	15.766	0.884	5.2705614	0.0000214	6000.82574	0.347	0.345	4.883	0.107	3.483
OGLE-LMC-CEP-0503	12	74.482410	-70.203667	17.337	17.853	0.516	0.4864368	0.0000005	6000.01450	0.310	0.228	3.588	0.111	1.065
OGLE-LMC-CEP-0504	F	74.486295	-68.816000	13.792	14.838	1.046	14.3929624	0.0000849	6004.74277	0.543	0.142	4.935	0.124	1.799
OGLE-LMC-CEP-0505	F	74.489505	-70.545056	15.024	15.771	0.747	4.1703244	0.0000085	6001.42454	0.481	0.446	4.673	0.232	3.113
OGLE-LMC-CEP-0506	1	74.489625	-66.962417	14.183	14.829	0.646	4.4546055	0.0000222	6002.68617	0.175	0.182	4.412	0.076	2.289
OGLE-LMC-CEP-0507	F1	74.501670	-66.906472	16.849	17.461	0.612	0.9850072	0.0000146	6000.38446	0.042	0.000	-99.99	0.000	-99.99
OGLE-LMC-CEP-0508	F	74.506785	-68.247583	15.528	16.319	0.791	3.0246544	0.0000129	6000.47974	0.306	0.350	4.512	0.136	2.822
OGLE-LMC-CEP-0509	12	74.517210	-69.465194	16.840	17.469	0.629	0.7133879	0.0000014	6000.15746	0.254	0.228	3.663	0.148	1.466
OGLE-LMC-CEP-0510	F	74.523255	-69.454306	-99.99	13.728	-99.99	36.8308253	0.0022925	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0511	1	74.529045	-67.274222	15.427	16.143	0.716	2.1351932	0.0000083	6001.22671	0.148	0.112	5.281	0.036	4.824
OGLE-LMC-CEP-0512	F	74.545005	-69.949694	-99.99	13.135	-99.99	39.3975640	0.0188278	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0513	F	74.551215	-68.243889	15.459	16.129	0.670	2.7781143	0.0000039	6000.07134	0.501	0.457	4.434	0.249	2.637
OGLE-LMC-CEP-0514	F	74.553660	-69.202778	15.458	16.276	0.818	3.5036453	0.0000058	6001.88864	0.353	0.393	4.627	0.172	3.002
OGLE-LMC-CEP-0515	1	74.563290	-68.971139	15.415	16.076	0.661	1.9443178	0.0000071	6000.89079	0.235	0.140	4.677	0.021	4.012
OGLE-LMC-CEP-0516	12	74.564580	-68.144056	16.788	17.298	0.510	0.5937449	0.0000015	6000.53041	0.193	0.166	3.370	0.092	1.027
OGLE-LMC-CEP-0517	F	74.569245	-70.629806	14.556	15.127	0.571	5.2647675	0.0000818	6000.63114	0.071	0.098	4.901	0.050	2.544
OGLE-LMC-CEP-0518	F	74.577090	-69.366972	15.589	16.550	0.961	3.2485681	0.0000052	6000.87198	0.395	0.452	4.572	0.235	2.944
OGLE-LMC-CEP-0519	F	74.578410	-69.117083	16.463	17.226	0.763	1.6798514	0.0000015	6000.62665	0.517	0.454	4.319	0.273	2.438
OGLE-LMC-CEP-0520	F	74.595210	-71.042472	14.032	14.781	0.749	8.3735403	0.0000210	6006.54802	0.499	0.298	5.388	0.231	3.913
OGLE-LMC-CEP-0521	F	74.598705	-67.899278	16.481	17.136	0.655	1.3973244	0.0000010	6000.27790	0.443	0.441	4.278	0.263	2.300
OGLE-LMC-CEP-0522	F	74.610630	-67.929333	15.333	16.074	0.741	3.1440681	0.0000045	6000.67774	0.463	0.441	4.548	0.236	2.831
OGLE-LMC-CEP-0523	1	74.611125	-70.830556	15.856	-99.99	-99.99	1.5207125	0.0000278	6000.80990	0.282	0.205	4.654	0.027	2.879
OGLE-LMC-CEP-0524	F	74.613420	-70.581361	15.448	16.189	0.741	3.1226768	0.0000063	6000.07351	0.364	0.433	4.509	0.194	2.791
OGLE-LMC-CEP-0525	1	74.617875	-68.966278	16.772	17.394	0.622	0.7790763	0.0000013	6000.10461	0.191	0.187	3.551	0.099	1.294
OGLE-LMC-CEP-0526	F	74.620035	-69.175472	15.502	-99.99	-99.99	2.8104033	0.0000269	6002.54949	0.328	0.415	4.465	0.210	2.776
OGLE-LMC-CEP-0527	1	74.632710	-68.985278	14.491	-99.99	-99.99	3.4924598	0.0001584	6001.21702	0.104	0.000	-99.99	0.000	-99.99
OGLE-LMC-CEP-0528	F	74.636580	-70.346028	-99.99	13.319	-99.99	35.7309134	0.0016214	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0529	F	74.637120	-69.040861	15.777	16.603	0.826	2.8560230	0.0000102	6002.56682	0.257	0.328	4.441	0.099	2.619
OGLE-LMC-CEP-0530	F	74.637795	-68.772944	15.680	16.358	0.678	2.3911710	0.0000041	6001.20938	0.650	0.500	4.331	0.283	2.528
OGLE-LMC-CEP-0531	1	74.643090	-67.190583	16.710	17.314	0.604	0.7900139	0.0000011	6000.68107	0.200	0.192	3.610	0.121	1.426
OGLE-LMC-CEP-0532	F1	74.649375	-69.650417	16.071	16.727	0.656	1.7875881	0.0000125	6001.18472	0.237	0.218	4.404	0.047	2.873
OGLE-LMC-CEP-0533	1	74.649585	-68.451250	16.712	17.355	0.643	0.8649231	0.0000015	6000.67448	0.180	0.192	3.653	0.087	1.536
OGLE-LMC-CEP-0534	1	74.649750	-66.698278	15.390	15.993	0.603	1.7724585	0.0000060	6000.78552	0.241	0.197	4.426	0.020	2.091
OGLE-LMC-CEP-0535	F	74.650545	-70.110667	-99.99	13.661	-99.99	17.2788297	0.0002956	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0536	F	74.653080	-70.931194	15.458	16.166	0.708	3.0115182	0.0000091	6002.74482	0.191	0.266	4.433	0.079	2.988
OGLE-LMC-CEP-0537	F	74.653620	-69.531417	15.710	-99.99	-99.99	3.0479876	0.0000113	6000.24960	0.490	0.452	4.517	0.257	2.806
OGLE-LMC-CEP-0538	F	74.668785	-67.100917	13.106	14.002	0.896	18.5303986	0.0005803	6008.89737	0.326	0.163	5.109	0.077	3.795
OGLE-LMC-CEP-0539	F	74.671965	-68.865194	15.320	16.064	0.744	3.4548743	0.0000062	6000.80523	0.466	0.430	4.544	0.227	2.892
OGLE-LMC-CEP-0540	F	74.672670	-69.525778	15.069	15.841	0.772	3.7501092	0.0000089	6002.95880	0.429	0.382	4.465	0.176	2.770
OGLE-LMC-CEP-0541	F	74.677965	-67.965444	15.365	16.078	0.713	3.2451771	0.0000041	6002.75960	0.466	0.426	4.546	0.209	2.833
OGLE-LMC-CEP-0542	F	74.679330	-70.891028	14.646	15.355	0.709	5.2297002	0.0000112	6004.34379	0.494	0.441	4.840	0.187	3.361
OGLE-LMC-CEP-0543	F	74.680290	-68.730389	15.367	16.096	0.729	3.1634285	0.0000062	6001.35354	0.402	0.400	4.530	0.192	2.784
OGLE-LMC-CEP-0544	F	74.686380	-69.483000	15.405	16.219	0.814	3.3731829	0.0000071	6001.76009	0.296	0.315	4.507	0.111	2.758
OGLE-LMC-CEP-0545	F	74.696295	-70.061583	13.266	-99.99	-99.99	15.8315648	0.0012231	6013.05803	0.539	0.165	4.971	0.124	1.857
OGLE-LMC-CEP-0546	F	74.701080	-67.318861	13.248	14.024	0.776	15.2162349	0.0001111	6011.57027	0.635	0.330	4.905	0.219	2.906
OGLE-LMC-CEP-0547	1	74.702580	-70.148889	15.139	15.680	0.541	2.0477642	0.0000059	6000.91701	0.249	0.165	4.657	0.033	3.767
OGLE-LMC-CEP-0548	1	74.703255	-68.099778	15.627	16.291	0.664	1.6487539	0.0000038	6000.41009	0.247	0.177	4.341	0.036	2.640
OGLE-LMC-CEP-0549	1	74.706870	-71.320417	14.555	15.211	0.656	3.5331917	0.0000166	6001.82012	0.204	0.106	3.464	0.047	0.687
OGLE-LMC-CEP-0550	F1	74.706960	-69.491583	15.199	15.911	0.712	3.2351712	0.0000235	6003.00884	0.236	0.188	4.426	0.041	2.630
OGLE-LMC-CEP-0551	1	74.710920	-69.070472	14.976	15.579	0.603	2.5046686	0.0000068	6002.30515	0.205	0.098	4.780	0.000	-99.99
OGLE-LMC-CEP-0552	12	74.721000	-68.851972	16.787	17.388	0.601	0.7425453	0.0000010	6000.23559	0.258	0.241	3.773	0.102	1.588
OGLE-LMC-CEP-0553	F	74.732250	-69.266528	14.949	15.766	0.817	4.6923291	0.0000077	6001.93376	0.562	0.441	4.702	0.201	3.100
OGLE-LMC-CEP-0554	F	74.743755	-68.318444	15.549	16.359	0.810	3.0307324	0.0000055	6000.99284	0.409	0.428	4.555	0.214	2.888
OGLE-LMC-CEP-0555	1	74.751330	-68.052806	15.140	15.701	0.561	2.0152373	0.0000085	6001.36210	0.113	0.083	4.681	0.000	-99.99
OGLE-LMC-CEP-0556	F	74.757285	-69.043500	14.506	15.369	0.863	6.5776561	0.0000268	6005.38914	0.326	0.338	4.988	0.086	3.623
OGLE-LMC-CEP-0557	F	74.762295	-68.369250	15.545	16.292	0.747	3.6476146	0.0000564	6001.14510	0.256	0.293	4.706	0.073	3.365
OGLE-LMC-CEP-0558	12	74.767875	-70.943361	16.828	17.405	0.577	0.7343334	0.0000018	6000.09988	0.255	0.244	3.725	0.138	1.639
OGLE-LMC-CEP-0559	1	74.770455	-69.592417	15.459	16.105	0.646	1.8010328	0.0000150	6000.80946	0.070	0.065	5.018	0.000	-99.99
OGLE-LMC-CEP-0560	1	74.773335	-70.164306	14.879	15.480	0.601	2.6666495	0.0000122	6001.98281	0.105	0.033	4.401	0.000	-99.99
OGLE-LMC-CEP-0561	F	74.780205	-67.725250	13.547	14.251	0.704	11.6704376	0.0000504	6001.91932	0.543	0.272	4.613	0.154	1.768
OGLE-LMC-CEP-0562	F1	74.780370	-67.351167	16.044	16.705	0.661	1.8070044	0.0000162	6000.20762	0.134	0.119	4.681	0.000	-99.99
OGLE-LMC-CEP-0563	1	74.788590	-67.750472	15.211	15.845	0.634	2.1651249	0.0000709	6000.74361	0.190	0.087	5.198	0.000	-99.99
OGLE-LMC-CEP-0564	F	74.794455	-70.170639	15.202	15.941	0.739	3.5559825	0.0000054	6001.09258	0.365	0.408	4.561	0.187	2.892
OGLE-LMC-CEP-0565	F	74.797755	-70.370111	15.436	15.951	0.515	2.5500903	0.0000023	6002.41560	0.539	0.499	4.362	0.285	2.568
OGLE-LMC-CEP-0566	F1	74.801535	-71.041278	15.462	16.168	0.706	2.8040827	0.0000238	6002.13848	0.264	0.225	4.462	0.055	2.771
OGLE-LMC-CEP-0567	1	74.807040	-67.263694	16.685	17.240	0.555	0.7813292	0.0000023	6000.52169	0.102	0.100	3.539	0.000	-99.99
OGLE-LMC-CEP-0568	F	74.808465	-70.264861	15.254	15.862	0.608	3.0758274	0.0000033	6000.92161	0.615	0.452	4.434	0.260	2.592
OGLE-LMC-CEP-0569	1	74.813370	-70.058472	14.939	15.522	0.583	2.5341225	0.0000059	6000.73862	0.211	0.083	4.644	0.000	-99.99
OGLE-LMC-CEP-0570	1	74.817285	-69.136778	14.843	15.532	0.689	3.0742878	0.0000167	6002.87289	0.227	0.107	3.407	0.065	6.226
OGLE-LMC-CEP-0571	F	74.822790	-69.238333	14.878	15.658	0.780	3.0798485	0.0000453	6001.58421	0.241	0.449	4.436	0.233	2.646
OGLE-LMC-CEP-0572	F	74.822955	-68.554889	15.475	16.132	0.657	2.6747568	0.0000036	6000.83110	0.620	0.467	4.377	0.256	2.526
OGLE-LMC-CEP-0573	1	74.825535	-69.880917	15.346	15.991	0.645	2.0509160	0.0000061	6001.64894	0.223	0.122	4.735	0.000	-99.99
OGLE-LMC-CEP-0574	1	74.831040	-66.893111	15.381	16.013	0.632	1.8984612	0.0000054	6001.86446	0.240	0.149	4.648	0.000	-99.99
OGLE-LMC-CEP-0575	F	74.836875	-68.147944	15.409	16.143	0.734	3.0313656	0.0000038	6001.43641	0.472	0.399	4.474	0.195	2.696
OGLE-LMC-CEP-0576	F	74.854080	-69.427472	14.622	15.354	0.732	5.0723302	0.0000085	6005.02673	0.515	0.460	4.738	0.226	3.230
OGLE-LMC-CEP-0577	1	74.856795	-69.442750	16.297	17.031	0.734	1.2604671	0.0000023	6000.83249	0.210	0.190	4.290	0.038	1.805
OGLE-LMC-CEP-0578	1	74.862585	-69.377722	15.297	15.988	0.691	2.0791686	0.0000042	6000.32766	0.277	0.179	4.598	0.028	3.364
OGLE-LMC-CEP-0579	1	74.863080	-70.451889	18.093	18.618	0.525	0.3053920	0.0000004	6000.26997	0.257	0.051	4.567	0.046	4.960
OGLE-LMC-CEP-0580	F	74.870085	-68.863444	15.117	15.821	0.704	3.7750281	0.0000075	6000.18618	0.304	0.361	4.608	0.149	2.995
OGLE-LMC-CEP-0581	1	74.875005	-68.981667	15.403	16.027	0.624	1.9475095	0.0000081	6000.10487	0.224	0.141	4.578	0.024	3.710
OGLE-LMC-CEP-0582	F	74.878245	-68.148750	15.352	16.158	0.806	3.4508540	0.0000107	6003.07623	0.242	0.309	4.587	0.095	2.886
OGLE-LMC-CEP-0583	1	74.879205	-69.328389	15.375	16.104	0.729	2.1471550	0.0000062	6000.74367	0.189	0.106	4.862	0.017	4.991
OGLE-LMC-CEP-0584	F	74.886420	-68.012694	13.841	14.671	0.830	5.7250383	0.0005133	6001.22281	0.347	0.399	4.598	0.228	3.048
OGLE-LMC-CEP-0585	1	74.889285	-68.213944	15.391	16.046	0.655	2.3580247	0.0000093	6001.07632	0.267	0.136	4.046	0.018	0.441
OGLE-LMC-CEP-0586	12	74.889870	-70.544806	17.070	17.663	0.593	0.5957427	0.0000010	6000.25002	0.234	0.200	3.043	0.187	0.826
OGLE-LMC-CEP-0587	1	74.895915	-70.102444	15.120	15.682	0.562	2.1952338	0.0000043	6001.34715	0.258	0.136	4.627	0.016	3.277
OGLE-LMC-CEP-0588	F	74.904915	-68.146639	15.261	15.935	0.674	3.2002211	0.0000128	6000.25538	0.495	0.418	4.441	0.204	2.687
OGLE-LMC-CEP-0589	F	74.914215	-67.430278	14.965	15.739	0.774	4.5931648	0.0000196	6000.49969	0.243	0.240	4.846	0.054	3.389
OGLE-LMC-CEP-0590	F	74.921460	-69.456111	-99.99	13.343	-99.99	31.7868602	0.0007174	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0591	F	74.922120	-67.738083	15.192	15.852	0.660	3.2694839	0.0000051	6002.96578	0.530	0.430	4.518	0.231	2.775
OGLE-LMC-CEP-0592	F	74.925255	-68.121028	14.908	15.610	0.702	4.1528425	0.0000078	6002.71185	0.477	0.422	4.603	0.211	2.948
OGLE-LMC-CEP-0593	F	74.928540	-68.279306	16.120	16.835	0.715	2.0690664	0.0000020	6001.18903	0.512	0.462	4.428	0.266	2.670
OGLE-LMC-CEP-0594	F	74.937840	-69.493194	14.382	15.227	0.845	6.7331951	0.0000408	6004.73296	0.187	0.134	4.738	0.018	2.475
OGLE-LMC-CEP-0595	F	74.943630	-69.194583	15.319	16.121	0.802	3.8810792	0.0000295	6002.03524	0.105	0.133	4.572	0.000	-99.99
OGLE-LMC-CEP-0596	F	74.955915	-68.085333	15.420	16.136	0.716	3.0528245	0.0000035	6001.75345	0.473	0.447	4.545	0.237	2.841
OGLE-LMC-CEP-0597	F	74.958000	-69.345611	15.476	16.214	0.738	2.9448261	0.0000048	6001.61079	0.391	0.367	4.532	0.168	2.780
OGLE-LMC-CEP-0598	1	74.965125	-66.904222	16.560	17.209	0.649	0.8973158	0.0000024	6000.18897	0.159	0.136	3.585	0.068	1.393
OGLE-LMC-CEP-0599	F	74.970255	-70.277000	14.625	15.340	0.715	5.4310007	0.0000109	6000.57411	0.543	0.451	4.880	0.192	3.383
